# Station=PAL Year=2024 | Source: PAL_2024_all.txt
# Filters: Zenith<=87.0; FEATURES complete; ghi_clear>10.0; ghi>=0; clearsky==1; aeronet_aod550+aeronet_alpha present
# Total=3466 | Test fraction=0.5 | Seed=42
# TRAIN POOL (1733 rows)
time_utc	ghi	bni	dhi	ghi_clear	bni_clear	dhi_clear	zenith	merra_ALPHA	merra_ALBEDO	merra_TQV	merra_TO3	merra_PS	merra_BETA	clearsky	aeronet_aod550	aeronet_alpha
2024-08-05 18:17:00	110	458	37	109.434874203	401.746100663	44.8070986655	80.7427640648	1.57877794902	0.267718119423	2.51650436083	0.313714315287	999.665003906	0.0407028628524	1	0.076094	1.326034
2024-08-05 18:21:00	99	431	35	99.7425085028	381.941318885	42.4989610987	81.3803033075	1.57782936096	0.269797959924	2.51364777565	0.313723435974	999.657863281	0.0407147135233	1	0.079448	1.322063
2024-08-06 05:33:00	105	411	40	93.3450834579	321.745462466	45.8027449955	81.5026412065	1.56290861964	0.260725130886	2.47271600723	0.317619204712	999.490816406	0.0592771443695	1	0.094169	1.500245
2024-08-06 05:39:00	119	437	43	107.479361645	350.42995844	49.925192386	80.5469867314	1.5641156733	0.257764787227	2.47292860031	0.317655099487	999.500886719	0.0594980126464	1	0.096335	1.511532
2024-08-06 05:41:00	124	445	44	112.303349711	359.607054809	51.2641700994	80.227381917	1.56451802452	0.256778006007	2.47299946467	0.317667064412	999.50424349	0.0595715577201	1	0.0966	1.507731
2024-08-06 05:48:00	145	484	50	129.582167294	390.273682258	55.8157853174	79.1048728048	1.5659262538	0.253324271739	2.47324748993	0.31770894165	999.515992187	0.0598286598763	1	0.090768	1.504879
2024-08-06 05:51:00	155	498	52	137.15835513	402.749963727	57.7037509459	78.6220410231	1.56652978063	0.251844099909	2.47335378647	0.317726889038	999.521027344	0.0599387010982	1	0.090499	1.49924
2024-08-06 05:57:00	174	522	59	152.580690766	426.566625989	61.3704414945	77.6534476628	1.56773683429	0.24888375625	2.47356637955	0.317762783813	999.531097656	0.0601585220513	1	0.091604	1.455574
2024-08-06 11:42:00	858	881	108	835.646308184	830.508564434	134.262697615	32.3791313861	1.58010113239	0.163402462006	2.81178958893	0.323529840088	999.16784375	0.0616022283249	1	0.109264	1.552917
2024-08-06 11:45:00	858	884	105	836.218853713	831.184101697	133.863148412	32.3274016388	1.5832130909	0.163000509143	2.81612076759	0.323560050964	999.151679687	0.0611518422561	1	0.105359	1.574519
2024-08-06 11:48:00	860	888	104	836.665834509	831.82605031	133.455857209	32.2872150841	1.5863250494	0.16259855628	2.82045194626	0.323590261841	999.135515625	0.0607029176408	1	0.108122	1.560883
2024-08-06 11:57:00	861	891	103	837.253152608	833.552235335	132.188540558	32.2363050489	1.59566092491	0.161392697692	2.83344548225	0.32368089447	999.087023438	0.0593648737948	1	0.100869	1.570306
2024-08-06 12:06:00	858	886	104	836.710601751	834.982368334	130.855098334	32.2901394193	1.60499680042	0.160186839104	2.84643901825	0.3237715271	999.03853125	0.058039844025	1	0.10543	1.555591
2024-08-06 12:15:00	860	890	104	835.040622258	836.120097333	129.458029792	32.448176056	1.61433267593	0.158980980515	2.85943255424	0.323862159729	998.990039063	0.0567277249143	1	0.10358	1.553023
2024-08-06 12:18:00	863	894	103	834.234139576	836.434860078	128.978612844	32.5237663843	1.61744463444	0.158579027653	2.86376373291	0.323892370605	998.973875	0.056293203146	1	0.100367	1.612488
2024-08-06 12:21:00	859	891	103	833.303086053	836.717523397	128.492473724	32.6106837075	1.62055659294	0.15817707479	2.86809491158	0.323922581482	998.957710937	0.0558601006973	1	0.104757	1.644462
